Material|ASIN|Product-url|AI-reviews
8903287005305|B00P1LU6NO|https://www.amazon.in/dp/B00P1LU6NO?th=1#customerReviews|Customers find the microwave oven to be of good quality, easy to use, and compact, making it perfect for small families. They consider it good value for money. However, the functionality receives mixed reviews, with some saying it works well while others report poor grill performance. Additionally, several customers mention issues with the heating mode, noting that the product doesn't heat properly and the convection mode is missing.
8903287005008|B006TQNOR0|https://www.amazon.in/dp/B006TQNOR0?th=1#customerReviews|Customers find the microwave oven works well and offers good value for money, being simple to use with no installation required. They appreciate its heating ability, with one customer noting it's suitable for a family of 3-5 members, and another mentioning it's ideal for hostel residents. Customers like its appearance, with one highlighting its retro-style dials, and consider it a decent basic microwave. The build quality receives mixed feedback, with some finding it dependable while others report receiving broken units.
8903287005398|B016W5EV1A|https://www.amazon.in/dp/B016W5EV1A?th=1#customerReviews|No AI-review summary
8903287005367|B00OLP0GKY|https://www.amazon.in/dp/B00OLP0GKY?th=1#customerReviews|Customers find the microwave oven to be of good quality, easy to use, and consider it excellent value for money. They appreciate its stylish appearance and decent performance, with one customer noting it works well for everything. However, the functionality receives mixed reviews, with several customers reporting that it doesn't work from day one. Moreover, the heat level and sturdiness aspects are problematic, with customers mentioning issues with heating and missing starter items.
8903287005534|B07R9RS1M6|https://www.amazon.in/dp/B07R9RS1M6?th=1#customerReviews|Customers find the microwave oven offers good value for money. However, the functionality receives mixed feedback, with some finding it very good to use while others note it has very few features.
8903287005459|B07W1KPCZT|https://www.amazon.in/dp/B07W1KPCZT?th=1#customerReviews|No AI-review summary
8903287005404|B015AAV3PA|https://www.amazon.in/dp/B015AAV3PA?th=1#customerReviews|Customers find the microwave oven to be of good quality, working without issues and delivering value for money. They appreciate its ease of use, with one mentioning its convenient instant settings, and consider it a good microwave. However, the heating efficiency receives negative feedback, with multiple customers reporting that it doesn't heat up at all. Additionally, customers complain about the noise level and missing starter kit.
8903287005381|B014A2UFSK|https://www.amazon.in/dp/B014A2UFSK?th=1#customerReviews|Customers find the microwave oven to be of good quality and excellent value for money, with positive feedback about its heating ability, ease of operation, and functionality. They appreciate its appearance, with one customer noting its chrome finish from the inside. The noise level receives mixed reviews, with several customers describing it as very noisy. The material quality receives negative feedback, with one customer reporting issues with the plastic handles cracking.
8903287005077|B00A7PGI18|https://www.amazon.in/dp/B00A7PGI18?th=1#customerReviews|Customers find the microwave oven to be a best-in-class appliance that works well for up to 3 years, with easy-to-handle auto cook menus and good heating options. They appreciate its appearance and consider it a budget-friendly option. However, the build quality receives mixed reviews, with several customers reporting it broke down within two months of use. Moreover, the noise level is a concern, with customers noting continuous beeping sounds during operation. Additionally, the included accessories receive mixed feedback, with some finding them useful while others report missing starter kit items.
8903287005466|B07FX6C1N4|https://www.amazon.in/dp/B07FX6C1N4?th=1#customerReviews|Customers find the microwave oven to be of good quality, easy to use, and attractive in appearance. They consider it good value for money. However, the functionality receives negative feedback, with several customers reporting that it doesn't work at all. Additionally, multiple customers describe it as a defective product.
8903287005312|B00OLHQJD0|https://www.amazon.in/dp/B00OLHQJD0?th=1#customerReviews|Customers find the microwave oven to be of good quality and value for money, with positive feedback about its appearance and ease of use, including the instruction manual with recipes. Customers praise its performance, with one customer noting its uniform convection cooking capabilities. However, the functionality receives mixed reviews, with several customers reporting touch panel issues after a year of use. Moreover, customers express concerns about heating efficiency, mentioning food overheating and burning, and the starter kit being missing from their units.
8903287005541|B07R8MF114|https://www.amazon.in/dp/B07R8MF114?th=1#customerReviews|Customers find the microwave oven to be an excellent product that offers good value for money and has a nice appearance. However, several customers report receiving defective units.
8903287005336|B00PRO3CI6|https://www.amazon.in/dp/B00PRO3CI6?th=1#customerReviews|Customers find this microwave oven to be of good quality, user-friendly, and functional, with one customer noting its various shortcuts for quick settings. They appreciate its design, value for money, and microwave capabilities, with one mentioning it comes with a recipe book and microwave-safe bowls. The cooking speed receives mixed feedback - while some find it fast, others report that pizzas don't cook properly. Several customers note that the start-up kit is missing.
8903287005435|B01D30K3SC|https://www.amazon.in/dp/B01D30K3SC?th=1#customerReviews|Customers find the microwave oven works excellently and is easy to operate. Moreover, they consider it good value for money. However, the quality receives mixed feedback, with one customer noting abysmal spare parts quality. Additionally, the scratch resistance is a concern, with one customer reporting multiple scratches on their unit.
8903287005428|B01D300ZBM|https://www.amazon.in/dp/B01D300ZBM?th=1#customerReviews|Customers find the microwave oven to be of good quality, easy to use, and appreciate its excellent cooking system for domestic use. They like its design, with one customer noting there are no unwanted patterns or stickers, and consider it good value for money.
8903287005282|B00E3QK9ZS|https://www.amazon.in/dp/B00E3QK9ZS?th=1#customerReviews|Customers find the microwave oven performs well and offers good value for money.
8903287005589|B085V1JD27|https://www.amazon.in/dp/B085V1JD27?th=1#customerReviews|Customers find the microwave oven to be a highly functional product that offers good value for money and is simple to use, with controls that are easier to operate. They appreciate its size, noting it's spacious and suitable for families of 5-6 people, and consider it excellent for basic food heating. The heating ability receives mixed feedback - while some say it heats up food quickly, others report it doesn't heat at all. The build quality and noise level also get mixed reviews, with some finding it sturdy while others report it breaking down, and several customers complain about the loud noise level.
8903287005183|B0085W15RC|https://www.amazon.in/dp/B0085W15RC?th=1#customerReviews|Customers find the microwave oven works well with all options functioning properly and consider it good value for money. They appreciate its ease of use, appearance, and size, noting it's suitable for 4-5 family members. The convection feature receives mixed feedback - while some say it serves their heating and baking needs, others report that utensils don't get heated up. The sturdiness aspect is mixed, with some praising the product while others mention missing starter kit items. Customers report durability issues, with units breaking within three years of use.
8903287005350|B00P1KGR8I|https://www.amazon.in/dp/B00P1KGR8I?th=1#customerReviews|Customers find the oven easy to use with clear instructions and appreciate its value for money. The microwave functions well, and customers like its appearance, describing it as a nice addition to their kitchen. The build quality and functionality receive mixed reviews - while some praise the build quality, others find it flimsy, and while some report the oven works properly, others say it's not working properly. Heat transfer is a concern, with customers reporting that it stops heating anything.
8903287005572|B08NQJVWGQ|https://www.amazon.in/dp/B08NQJVWGQ?th=1#customerReviews|Customers find the microwave oven works well and is easy to use, with one mentioning its simple operating system. They consider it good value for money. However, the heating efficiency receives negative feedback, with multiple customers reporting that it stops working within 7 months. Additionally, the cooking time is longer than expected in grill mode.
8903287005220|B016ZLKJSU|https://www.amazon.in/dp/B016ZLKJSU?th=1#customerReviews|Customers find this microwave oven to be a good quality starter kit that offers great value for money. They appreciate its ease of use, with one customer highlighting its simple navigation, and its built-in menu system with 101 auto-cook options. The oven's appearance receives positive feedback, with customers describing it as a "Black beauty." While the functionality receives mixed reviews, with some customers reporting issues with the grill function, the main concern is the missing starter kit and recipe book.
8903287005411|B016XZP3DY|https://www.amazon.in/dp/B016XZP3DY?th=1#customerReviews|Customers find the microwave oven to be of good quality, with all features being user-friendly and loaded with functions. They consider it a good value for money and appreciate its robust build. However, the functionality receives mixed reviews, with some saying it works well while others report it doesn't work from the start. Moreover, the starter kit is a significant concern, with multiple customers noting it's not provided.
8903287005190|B00ABCWZ00|https://www.amazon.in/dp/B00ABCWZ00?th=1#customerReviews|No AI-review summary
8903287005374|B00OLUNDTK|https://www.amazon.in/dp/B00OLUNDTK?th=1#customerReviews|Customers find the microwave oven to be of good quality and excellent value for money, appreciating its ease of use with a good installation guide. The cooking ability receives positive feedback, with one customer highlighting its 101 cooking menus, while the heating capacity is criticized for taking too long to heat food. The functionality receives mixed reviews, with some praising its features while others report it not working properly. The noise level is a concern, with customers noting it's surprisingly loud, and the starter kit is missing for some customers.
8903287005473|B07R8WKSM9|https://www.amazon.in/dp/B07R8WKSM9?th=1#customerReviews|Customers find the microwave oven's functionality positive, with one mentioning it runs smoothly. They also consider it good value for money.
8903287004766|B08P7WZ6DL|https://www.amazon.in/dp/B08P7WZ6DL?th=1#customerReviews|No AI-review summary
8903287004773|B08P826HQH|https://www.amazon.in/dp/B08P826HQH?th=1#customerReviews|No AI-review summary
8903287004971|B08P9WB284|https://www.amazon.in/dp/B08P9WB284?th=1#customerReviews|No AI-review summary
8903287004988|B08P9THDW2|https://www.amazon.in/dp/B08P9THDW2?th=1#customerReviews|No AI-review summary
8903287002274|B01C8JZ0DW|https://www.amazon.in/dp/B01C8JZ0DW?th=1#customerReviews|No AI-review summary
